 	tnxk,txwk
茈	hytb·艹止匕
茉	hhk,hhkm·艹一木
茊	hvig·艹{亻}工
茋	hcqv·艹氏丶,hchv·艹氏一
茌	hvy,hvys·艹亻士
茍	xho,xhok·卝勹口
茎	hzi,hzig·艹ス工,hayt·艹又土
茏	hwlc·艹龙
茐	hhnq·艹勹{丿丿}丶
茑	hsn,hsnc·艹鸟
茒	hdpe·艹夕阝
茓	hmab·艹宀八
茔	hny,hnyt·艹冖土
茕	hnz,hnzf·艹冖⺄十
茖	hdok·艹夂口
茗	hdok·艹夕口
茘	hppp·艹刀刀刀
茙	hgfv·艹戈𠂇
茚	hepj·艹{印左}卩
茛	hpg,hpgc·艹艮
茜	hsx,hsxc·艹西
茝	hcy,hcyc·艹𦣝
茞	hccc·艹臣
茟	hefv·艹⺕キ
茠	hvkm·艹亻木
茡	hmzz·艹宀子
茢	hhdn·艹一夕刂
茣	hohr·艹口一大,holr·艹口𠃑大
茤	hddx·艹夕夕
茥	hyyt·艹土土
茦	hknv·艹木冂
茧	hgc,hgcc·艹虫
茨	hvr,hvrq·艹冫欠,hzrq·艹二欠
茩	hjh,hjho·艹⺁一口
茪	hxww·艹⺌兀
茫	hci,hciw·艹氵亡
茬	hfiy·艹𠂇丨土
茭	hiax·艹亠八乂
茮	hlhx·艹⺊一小
茯	hvrq·艹亻犬
茰	hdxv·艹日乂
茱	hjk,hjkw·艹丿未
茲	hwwy·艹幺幺
茳	hcig·艹氵工
茴	hqo,hqok·艹囗口
茵	hqr,hqrd·艹囗大
茶	hak,hakm·艹人朩
茷	hvg,hvgg·艹亻戈
茸	hse,hsec·艹耳
茹	hdo,hdok·艹女口
茺	hiu,hiuw·艹亠厶儿,htwe·艹ㄊ儿
茻	uuuu·{艸左}屮{艸左}屮
茼	hntc·艹同
茽	hvfz·艹亻中
茾	hhhc·艹一廾
茿	hiwf·艹工凡,hiwv·艹工{凡}
荀	hhdr·艹勹日
荁	hhdh·艹一日一
荂	hrhs·艹大一丂
荃	haew·艹人王,hjqe·艹丿乀王
荄	hiua·艹亠{亥中}人
荅	hao,haok·艹亼口
荆	hhh,hhhn·艹一廾刂,httn·艹{爰中}干刂
荇	hxhc·艹行
荈	hdc,hdci·艹夕匸丨
草	hdz,hdzc·艹早
荊	hhhn·艹一廾刂
荋	htec·艹而
荌	hmdn·艹宀女
荍	hudp·艹丩攵
荎	hczc·艹至
荏	hver·艹亻壬
荐	hfi,hfiz·艹𠂇丨子
荑	hrmg·艹大弓
荒	hix,hixv·艹亡{巟下}
荓	hkhc·艹䒑廾
荔	hxxx·艹力力力
荕	hmxl·艹月力
荖	hyt,hytb·艹耂匕
荗	hga,hgar·艹戈人
荘	hky,hkys·艹丬士
荙	hrl,hrlz·艹大辶
荚	hrv,hrvv·艹夫丷
荛	hgww·艹{尧上}兀
荜	httf·艹{比左}匕十
荝	hrnd·艹贝刂
荞	hjr,hjrn·艹丿大{丿丨}
荟	hac,hacv·艹亼{至上}
荠	hjn,hjnv·艹文{丿丨}
荡	hcz,hczn·艹氵𠄎{丿丿}
荢	hmhf·艹宀一{于下}
荣	hnk,hnkm·艹冖木
荤	hnt,hntj·艹冖车
荥	hnxs·艹冖水
荦	hnl,hnln·艹冖牛
荧	hnrh·艹冖火
荨	hef,hefc·艹⺕寸
荩	hpq,hpqv·艹尸㇏⺀
荪	hzxx·艹子小
荫	hpm,hpmy·艹阝月
荬	hzv,hzvr·艹乛⺀大
荭	hwi,hwig·艹纟工
荮	hwfc·艹纟寸
药	hwh,hwhq·艹纟勹丶
荰	hkyt·艹木土
荱	hptm·艹尸毛
荲	hqze·艹甲二
荳	hhgv·艹一{壴下}
荴	hfrf·艹扌夫
荵	hpqu·艹刀丶心
荶	hoaz·艹口亽㇇
荷	hvt,hvto·艹亻丁口
荸	hfn,hfnz·艹十冖子
荹	hyxx·艹止{小}
荺	hyhv·艹土勹冫,hyhz·艹土勹二
荻	hgrh·艹犭火
荼	hakv·艹人{余下}
荽	hedn·艹爫女
荾	huad·艹厶八夊,huwd·艹厶儿夊
荿	hghv·艹戈{万下}
莀	hjcc·艹辰
莁	hiaa·艹工人人
莂	hoxn·艹口力刂,hohn·艹口{万下}刂
莃	hxfe·艹㐅𠂇巾
莄	hhdx·艹一日乂
莅	hvi,hvil·艹亻立
莆	hfpc·艹甫
莇	hbxl·艹且力
莈	hcwv·艹氵殳,hcha·艹氵{万下}又
莉	hkn,hknd·艹禾刂
莊	hhys·艹爿士
莋	hvl,hvlk·艹亻𠂉ㅑ
莌	hvow·艹丷口儿,haow·艹八口儿
莍	hfxq·艹{于下}{冫く}丶
莎	hcxj·艹氵小丿
莏	hfxj·艹扌小丿
莐	hcnw·艹氵冖儿
莑	hdff·艹夂丰
莒	hook·艹口口,hojo·艹口丿口
莓	hld,hldm·艹𠂉母
莔	hqan·艹囗八冂,hqnv·艹四冂
莕	hkok·艹木口
莖	hhmi·艹一巛工
莗	hfjc·艹車
莘	hixc·艹辛
莙	hejo·艹⺕丿口
莚	hjyl·艹丿{㢟右}廴
莛	hel,helj·艹𡈼廴
莜	hvid·艹亻丨攵
莝	haay·艹人人土
莞	hmhw·艹宀一兀
莟	hazo·艹亽㇇口
莠	hkz,hkzj·艹禾𠄎丿
莡	hgzc·艹足
莢	hra,hraa·艹大人人
莣	hiux·艹亡心
莤	hshv·艹西一
莥	hgcf·艹犭ユ十
莦	hxmy·艹⺌⺝,hxmr·艹⺌⺼
莧	hbx,hbxc·艹見
莨	hqp,hqpg·艹丶艮
莩	hez,hezz·艹爫子
莪	hgw,hgwc·艹我
莫	hdr,hdrd·艹日大
莬	hhow·艹⺈口儿
莭	hppj·艹{即左}卩
莮	hqxl·艹田力
莯	hckm·艹氵木
莰	hyrq·艹土欠
莱	hkv,hkvv·艹未丷
莲	ht,htlz·艹车辶
莳	hdfc·艹日寸
莴	hona·艹口冂人
莵	hjoq·艹丿口儿丶
莶	ham,hamh·艹亼⺍一
获	hgr,hgrq·艹犭犬
莸	hgwy·艹犭尤
莹	hneq·艹冖王丶
莺	hns,hnsn·艹冖鸟
莻	hzjt·艹𠄎丿口匕
莼	hwtu·艹纟七凵
莽	hrhc·艹犬廾
莾	hrfh·艹大十廾
莿	hknn·艹木冂刂
菀	hmd,hmdp·艹宀夕㔾
菁	hym,hymy·艹龶⺝
菂	hbh,hbhq·艹白勹丶
菃	hccj·艹氵巨
菄	hkdr·艹木日
菅	hmb,hmbv·艹宀㠯
菆	hsa,hsay·艹耳又
菇	hdb,hdbg·艹女古
菈	hfil·艹扌立
菉	hexs·艹⼹氺,hyxs·艹彑氺
菊	hhx,hhxm·艹勹米
菋	hokw·艹口未
菌	hqk,hqkh·艹囗禾
菍	hazu·艹亽㇇心
菎	hdtt·艹日{比左}匕
菏	hcto·艹氵丁口
菐	uyqv·业⺶㇏
菑	hmq,hmqt·艹巛田
菒	hdkm·艹日木
菓	hdk,hdkm·艹日木
菔	hmp,hmpa·艹月卩又
菕	hanh·艹亼冂卄
菖	hddr·艹日日
菗	hfqy·艹扌由
菘	hka,hkau·艹木八厶
菙	hfsh·艹千龷一
菚	hggg·艹戈戈
菛	hxmc·艹門
菜	hek,hekm·艹爫木
菝	hff,hffq·艹扌𠂇又丶
菞	hkhj·艹禾勹丿
菟	hhoq·艹⺈口儿丶
菠	hcr,hcrp·艹氵皮
菡	hzxu·艹㇇氺凵
菢	hfhb·艹扌包
菣	hcay·艹臣又
菤	hrpv·艹龹㔾
菥	hkj,hkjj·艹木斤
菦	hjlz·艹斤辶
菧	hjcq·艹广氏丶,hjch·艹广氏一
菨	hidn·艹立女
菩	hio,hiok·艹立口
菪	hmt,hmts·艹宀石
菫	hhoy·艹一口龶
菬	hcpo·艹氵刀口
菭	hcuo·艹氵厶口
菮	hje,hjea·艹广⺕人
華	hts,htsv·艹干龷
菰	hzeg·艹子瓜
菱	hya,hyad·艹土八夊,hywd·艹土儿夊
菲	hxf,hxfc·艹非
菳	hajc·艹金
菴	hrdl·艹大日乚
菵	hnki·艹冂䒑亡
菶	hrfv·艹𡗗キ
菷	hene·艹⺕冖巾
菸	hiav·艹方人⺀
菹	hcb,hcbq·艹氵且
菺	hpmy·艹户⺝,hpmr·艹戶⺼
菻	hkk,hkkm·艹木木
菼	hrr,hrrh·艹火火
菽	hlh,hlha·艹⺊一小又
菾	hhr,hhrq·艹一大小丶
菿	hcn,hcnd·艹至刂
萀	hjwj·艹虍几,hjwe·艹虍儿
萁	hsq,hsqc·艹其
萂	hkok·艹禾口
萃	hia,hiaf·艹亠人人十
萄	hhlu·艹勹𠂉十凵
萅	htud·艹七凵日
萆	hqfs·艹{卑上}十
萇	hecc·艹長
萈	hbqv·艹見丶,xbqv·卝見丶
萉	hmpb·艹月巴
萊	hkl,hklc·艹來
萋	hfe,hfed·艹十⺕女
萌	hdm,hdmy·艹日月
萍	hct,hctv·艹氵干丷
萎	hkdn·艹禾女
萏	hhu,hhuj·艹⺈臼
萐	hhey·艹一⺕龰
萑	hev,hevc·艹隹
萒	hiaw·艹亠八厶儿
萓	hmbq·艹宀且
萔	hfpo·艹扌刀口
萕	hjo,hjov·艹文{斉下}
萖	huw,huwe·艹臼儿
萗	hmz,hmzs·艹宀示
萘	hrz,hrzs·艹大示
萙	hknw·艹木冖儿
萚	hfaf·艹扌又キ
萛	hbhc·艹目廾
萜	helo·艹巾⺊口
萝	hqd,hqdx·艹罒夕
萞	hnat·艹冂人{比左}匕
萟	hkxw·艹禾丸
萠	hmmy·艹月月
萡	hcbb·艹氵白
萢	hchb·艹氵包
萣	hmhy·艹宀一龰
萤	hng,hngc·艹冖虫
营	hno,hnoo·艹冖口口
萦	hnw,hnws·艹冖糸
萧	heim·艹⺕丨{肃下}
萨	hpi,hpij·艹阝立丿
萩	hkr,hkrh·艹禾火
萪	hkvf·艹禾⺀十
萫	hkdr·艹禾日
萬	hdmv·艹日{禺下}
萭	hjom·艹丿口{禺下}
萮	hamn·艹亼⺝刂
萯	hhbb·艹⺈貝
萰	hkqv·艹木{柬中}
萱	hmh,hmhh·艹宀一日一
萲	het,heta·艹爫{爰中}又
萳	hfnf·艹十冂䒑十
萴	hbnd·艹貝刂
萵	hnwc·艹咼
萶	hrdr·艹𡗗日
萷	hxmn·艹⺌⺝刂
萸	hua,huar·艹臼人
萹	hpn,hpnh·艹户冂卄
萺	hnzb·艹冂二目
萻	hidr·艹立日
萼	hoo,hoos·艹口口一丂
落	hcd,hcdo·艹氵夂口
萾	hzjq·艹𠄎丿又皿
萿	hcbs·艹氵舌
葀	hfbs·艹扌舌
葁	hydn·艹⺷女
葂	hhox·艹⺈口儿力
葃	hdlk·艹日𠂉ㅑ
葄	hmlk·艹月𠂉ㅑ
葅	haab·艹人人且
葆	hvo,hvok·艹亻口木
葇	hrkm·艹矛木
葈	huok·艹厶口木
葉	hsl,hslk·艹廿𠃊木
葊	haoh·艹亼口廾
葋	hmho·艹月勹口
葌	hddd·艹女女女
葍	hhoq·艹一口田
葎	hme,hmef·艹彳⺕キ
葏	hcef·艹氵⺕キ
葐	hapq·艹八刀皿
葑	hyy,hyyf·艹土土寸
葒	hwig·艹糹工
葓	hcsa·艹氵龷八
葔	hvc,hvcr·艹亻ユ𠂉大
葕	hxcs·艹行氵
葖	hmar·艹宀八犬,hmwr·艹宀儿犬
著	hydr·艹耂日
葘	hhmq·艹一巛田
葙	hkb,hkbm·艹木目
葚	hslv·艹其𠃊
葛	hdh,hdhg·艹日匃
葜	hfpr·艹丰刀大
葝	hhmx·艹一巛工力
葞	hmse·艹弓耳
葟	hbew·艹白王
葠	hvea·艹亻⺕冖又
葡	hhf,hhfp·艹勹甫
葢	hrqq·艹大丶皿
董	hjf,hjfh·艹丿車一
葤	hwfc·艹糹寸
葥	hkmn·艹䒑⺝刂
葦	hfw,hfwc·艹韋
葧	hfnx·艹十冖子力
葨	hqhk·艹田一Ｋ
葩	hbp,hbpb·艹白巴
葪	hhnd·艹角刂
葫	hbm,hbmy·艹古月,hbmr·艹古⺼
葬	hhd,hhdh·艹一夕匕廾
葭	hpza·艹Ｐ二コ又
葮	hfwv·艹{段左}殳
葯	hwhq·艹糹勹丶
葰	hvu,hvud·艹亻厶八夊
葱	hhnu·艹勹{丿丿}丶心
葲	hbxs·艹白水
葳	hgjd·艹戈丿一女
葴	hgjo·艹戈丿一口
葵	hxh,hxhr·艹癶一大
葶	hjnt·艹{享上}冖丁
葷	hnf,hnfj·艹冖車
葸	hqux·艹田心
葹	hilp·艹方𠂉也
葺	hos,hose·艹口耳
葻	hwfc·艹風
葼	hxud·艹㐅凵八夊
葽	hsdn·艹覀女
葾	hdpu·艹夕㔾心
葿	hpbm·艹{声下}目
蒀	hdqm·艹日皿
蒁	hklz·艹术辶
蒂	hin,hine·艹{立上}冖巾
蒃	hygv·艹彑{豕下}
蒄	hnhf·艹冖一兀寸
蒅	hcxk·艹氵九木
蒆	hiwd·艹工凡女
蒇	hgjr·艹戈丿贝
蒈	httb·艹{比左}匕白
蒉	hgrb·艹{贵上}贝
蒊	hvtt·艹亻𠤎口匕
蒋	hkd,hkdf·艹丬夕寸
蒌	hxdn·艹米女
蒍	hvz,hvzm·艹ソ𠃍𠃍𠃌灬
蒎	hcjc·艹氵⺁𧘇
蒏	hnsh·艹冖西一
蒐	hqgc·艹鬼
蒑	hpzw·艹{㐆上}𠃌殳
蒒	hjbe·艹丿㠯一巾
蒓	hwtu·艹糹七凵
蒔	hdyf·艹日土寸
蒕	hqaq·艹囗人皿
蒖	hfba·艹十{具上}八
蒗	hcqp·艹氵丶艮
蒘	hdof·艹女口手
蒙	hnh,hnhg·艹冖一豕
蒚	hhoi·艹一口冂䒑丨
蒛	hlfa·艹𠂉十凵ユ人
蒜	hzz,hzzs·艹示示
蒝	hjbx·艹厂白小
蒞	hcv,hcvi·艹氵亻立
蒟	hih,hiho·艹立勹口
蒠	hbu,hbux·艹自心
蒡	hini·艹{立上}冖方
蒢	hpak·艹阝人{余下}
蒣	hmak·艹彳人{余下}
蒤	hcak·艹氵人{余下}
蒥	hcpq·艹{留左上}刀田
蒦	hea,heay·艹隹又
蒧	hgjo·艹戈丿⺊口
蒨	hvym·艹亻龶⺝
蒩	hkbq·艹禾且
蒪	hffc·艹甫寸
蒫	hyig·艹⺶工,hyji·艹⺷丿工
蒬	hnhq·艹冖⺈口儿丶
蒭	hhuu·艹勹{艸左}勹{艸左}
蒮	hnev·艹冖隹
蒯	hmm,hmmn·艹月月刂
蒰	hnwv·艹舟殳
蒱	hffp·艹扌甫
蒲	hcfp·艹氵甫
蒳	hwna·艹糹冂人,hwnq·艹糹冂丿乀
蒴	hku,hkum·艹䒑{艸左}月
蒵	hewr·艹爫幺大
蒶	hwa,hwap·艹糹八刀
蒷	hobb·艹口貝
蒸	hzx,hzxm·艹㇇水一灬
蒹	hks,hksv·艹䒑{兼下}
蒺	hjl,hjlr·艹疒𠂉大
蒻	hmvv·艹弓冫弓冫
蒼	hapo·艹亽{倉中}口
蒽	hqru·艹囗大心
蒾	hxlz·艹米辶
蒿	hjno·艹{享上}冂口
蓀	hzjw·艹子丿糸
蓁	hrk,hrkh·艹𡗗禾
蓂	hnda·艹冖日亠八
蓃	hui,huia·艹臼丨又,hxia·艹⺽丨又
蓄	hiw,hiwq·艹亠幺田
蓅	hcix·艹氵亠厶{巟下},hctx·艹氵ㄊ{巟下}
蓆	hjse·艹广廿巾
蓇	hnm,hnmy·艹{骨上}⺝,hnmr·艹{骨上}⺼
蓈	hqpp·艹丶{即左}阝
蓉	hma,hmao·艹宀八人口
蓊	hau,haue·艹八厶习习
蓋	hyu,hyuq·艹土厶皿
蓌	haad·艹人人土夊
蓍	hytd·艹耂匕日
蓎	hjeo·艹广⺕丨口
蓏	heeg·艹瓜瓜
蓐	hjfc·艹辰寸
蓑	hidc·艹亠{衰中}𧘇
蓒	hftg·艹車干
蓓	hvio·艹亻立口
蓔	hymh·艹⺷灬
蓕	hkyy·艹木土土
蓖	hqx,hqxt·艹{囟框}㐅{比左}匕
蓗	hmyz·艹彳走
蓘	hiac·艹亠八厶𧘇
蓙	hjay·艹广人人土
蓚	hvim·艹亻丨夂彡
蓛	hknd·艹木冂攵
蓜	hshz·艹西一己
蓝	hnkq·艹〢{⺮半}皿
蓞	heuj·艹爫臼
蓟	hqn,hqnd·艹鱼刂
蓠	hju,hjuu·艹文凵冂厶
蓡	hcea·艹氵⺕冖又
蓢	hqpm·艹丶{即左}月
蓣	hazt·艹龴乛亅页
蓤	hvyd·艹冫土八夊
蓥	hnaj·艹冖金
蓦	hdrs·艹日大马
蓧	hvik·艹亻丨夂朩
蓨	hvim·艹亻丨夂⺝
蓩	hrdx·艹矛夂力
蓪	hanl·艹龴冂キ辶
蓫	hglz·艹豕辶
蓬	hdfl·艹夂丰辶
蓭	hjrl·艹广大日乚
蓮	hflz·艹車辶
蓯	hmay·艹彳人人龰
蓰	hmy,hmyy·艹彳止龰
蓱	hckh·艹氵䒑廾
蓲	hcoo·艹匚口口口
蓳	hso,hsoy·艹廿口龶
蓴	hgfc·艹{惠上}寸
蓵	hfhy·艹扌一⺕龰
蓶	hoev·艹口隹
蓷	hfev·艹扌隹
蓸	hhdd·艹卄日日
蓹	hmlp·艹彳𠂉一止卩
蓺	hyax·艹土八土丸,hywx·艹土儿土丸
蓻	hykx·艹土䒑十丸
蓼	heem·艹习习人彡
蓽	hdsf·艹日龷十,hqsf·艹田龷十
蓾	hlqm·艹⺊囗㐅{四点}
蓿	hmv,hmvd·艹宀亻丆日
蔀	hiop·艹立口阝
蔁	hidz·艹立早
蔂	hqws·艹田糸
蔃	hmo,hmog·艹弓口虫,hmug·艹弓厶虫
蔄	hxok·艹門口
蔅	hxdn·艹門女
蔆	hcyd·艹氵土八夊
蔇	hpcw·艹{即左}匸儿
蔈	hsz,hszs·艹覀示
蔉	hiac·艹亠八口𧘇,hiwc·艹亠儿口𧘇
蔊	hrd,hrdt·艹火日干
蔋	hcla·艹氵⺊一小又
蔌	hko,hkor·艹木口欠
蔍	hjlc·艹鹿
蔎	hjwv·艹訁殳
蔏	hino·艹{立上}冂八口
蔐	hinb·艹{立上}冂古
蔑	hqg,hqga·艹罒戈人,xqga·卝罒戈人
蔒	hejm·艹⺕丿口灬
蔓	hdq,hdqa·艹日罒又,hnza·艹冂二罒又
蔔	hhhq·艹勹一口田
蔕	hsw,hswe·艹廿儿冖巾
蔖	hjbq·艹虍且
蔗	hjs,hjsm·艹广廿灬
蔘	huum·艹厶厶厶人彡
蔙	hily·艹方𠂉乛龰
蔚	hpz,hpzf·艹尸示寸
蔛	hhvf·艹角⺀十
蔜	hyhd·艹龶{万下}攵,hyid·艹士方攵
蔝	hbxm·艹目米
蔞	hqdn·艹{婁上}女
蔟	hil,hilr·艹方𠂉𠂉大
蔠	hwdv·艹糹夂⺀
蔡	hxz,hxzs·艹{祭上}示
蔢	hcrd·艹氵皮女
蔣	hhdf·艹爿{炙上}寸
蔤	hmuu·艹宀心丿山
蔥	hqdu·艹{囟框}夊心,hqnu·艹{囟框}{丿丿}丶心
蔦	hpnc·艹鳥
蔧	hffe·艹丰丰⺕
蔨	hqrp·艹囗龹㔾
蔩	hmha·艹宀一由八
蔪	hfj,hfjj·艹車斤
蔫	hhy,hhym·艹一止丂灬
蔬	hzy,hzyx·艹㇇止亠厶{巟下}
蔭	hpa,hpac·艹阝亽㇇一{至上}
蔮	hqgh·艹囗戈口一
蔯	hpk,hpkd·艹阝木日
蔰	hpop·艹户口巴
蔱	hxkw·艹㐅朩殳
蔲	hmhd·艹宀一兀攵
蔳	hcym·艹氵龶⺝
蔴	hjm,hjmc·艹麻
蔵	hgjc·艹戈丿臣
蔶	hybb·艹龶貝
蔷	hfk,hfko·艹十䒑囗口
蔸	hbc,hbcw·艹白{卬左}コ儿
蔹	hamd·艹亼⺍一攵
蔺	hnev·艹门隹
蔻	hmha·艹宀一兀⺊又
蔼	hid,hidh·艹讠日匃
蔽	hve,hved·艹丷巾八攵
蔾	hkhk·艹禾勹丿木
蔿	hejm·艹爫丿𠃍𠃍𠃌灬
蕀	hknn·艹木冂木冂
蕁	heif·艹⺕工口寸
蕂	hmrx·艹月龹力
蕃	hjx,hjxq·艹丿米田
蕄	hxux·艹門心
蕅	hcdm·艹氵日{禺下}
蕆	hgjb·艹戈丿貝
蕇	hoof·艹口口日十
蕈	hsd,hsdz·艹覀早
蕉	hem,hemh·艹隹灬
蕊	huuu·艹心心心
蕋	hyyy·艹止止止
蕌	hddd·艹日日日
蕍	hcan·艹氵亼⺝刂
蕎	hjro·艹丿大口冂口
蕏	hgyd·艹犭耂日
蕐	hhaf·艹一人人人人キ
蕑	hxmy·艹門月
蕒	hqbb·艹罒貝
蕓	hthc·艹⻗一{至上}
蕔	hyka·艹土䒑十卩又
蕕	hgvh·艹犭丷西一
蕖	hcck·艹氵巨木
蕗	hgd,hgdo·艹⻊夂口
蕘	hyyw·艹土土土兀
蕙	hgu,hgux·艹{惠上}心
蕚	hoos·艹口口口一丂
蕛	hkvj·艹禾丷弔丿
蕜	hxux·艹非心
蕝	hwhp·艹糹⺈巴,hwpp·艹糹刀巴
蕞	hds,hdsa·艹日耳又,hnza·艹冂二耳又
蕟	hxmw·艹癶弓殳
蕠	hdow·艹女口糸
蕡	hfh,hfhb·艹十卄貝
蕢	hgbb·艹{贵上}貝
蕣	heni·艹爫冖夕匸丨
蕤	hgls·艹豕生
蕥	hre,hrev·艹牙隹
蕦	hmby·艹彡頁
蕧	hml,hmld·艹彳𠂉日夊
蕨	hjkr·艹厂䒑{艸左}欠
蕩	hcdn·艹氵日一勹{丿丿}
蕪	hls,hlsm·艹𠂉{無中}灬
蕫	hiq,hiqz·艹立甲二
蕬	hwws·艹糹糸
蕭	heix·艹⺕丨{淵右}
蕮	huhm·艹臼勹灬
蕯	hpdl·艹阝夂一生
蕰	hcdq·艹氵日皿
蕱	hkxm·艹禾⺌⺝
蕲	hvd,hvdj·艹丷日十斤
蕳	hxdr·艹門日
蕴	hwd,hwdq·艹纟日皿
蕵	hdap·艹夕亽艮
蕶	htaa·艹⻗亽龴
蕷	hazb·艹龴乛亅頁
蕸	hpzl·艹Ｐ二コ又辶
蕹	hiwe·艹亠乡隹
蕺	hogh·艹口戈ㅒ一,hosg·艹口耳戈
蕻	hes,hesa·艹镸龷八
蕼	heef·艹镸⺕キ
蕽	hdnj·艹日〢辰
蕾	htq,htqt·艹⻗田
蕿	hrea·艹火爫{爰中}又
薀	hcqq·艹氵囗人皿
薁	hhxr·艹{向框}米大,hhjr·艹{向框}丿米大
薂	hbid·艹白方攵
薃	hcjo·艹氵{享上}冂口
薄	hcf,hcff·艹氵甫寸
薅	hdjf·艹女辰寸
薆	hen,hend·艹爫冖心夊
薇	hmu,hmud·艹彳山一几攵
薈	haq,haqd·艹亼{曾中}日
薉	hygx·艹止戈丿一{小}
薊	hqnd·艹魚刂
薋	hvrb·艹冫欠貝,hzrb·艹二欠貝
薌	hwqp·艹乡丶{即左}阝
薍	heal·艹爫龴冂厶又乚
薎	hqng·艹罒冖亻戈,xqng·卝罒冖亻戈
薏	hidu·艹立日心
薐	hkyd·艹禾土八夊
薑	hhqh·艹一田一田一
薒	hldx·艹⺊夕又米
薓	hcea·艹氵⺕冖巾又
薔	hyao·艹土人人囗口
薕	hjks·艹广䒑{兼下}
薖	hnlz·艹咼辶
薗	hqyc·艹囗土口𧘇
薘	hyyl·艹土羊辶
薙	hlr,hlre·艹𠂉大隹
薚	hhdn·艹一夕日一勹{丿丿}
薛	hjb,hjbi·艹丿㠯辛
薜	hpo,hpoi·艹尸口辛
薝	hhjj·艹⺈厂八言
薞	hhdp·艹一夕亽艮
薟	haoa·艹亼口口人人
薠	hrby·艹火頁
薡	hbxv·艹目{鼎下}
薢	hhpl·艹角刀牛
薣	hyg,hyga·艹士{壴下}十又
薤	hhdh·艹一夕非一
薥	hqhg·艹罒勹虫
薦	hjcm·艹广コ〢丂灬
薧	hjnt·艹{享上}冖一夕匕
薨	hqnt·艹罒冖一夕匕,xqnt·卝罒冖一夕匕
薩	hpil·艹阝立丿生,hpjl·艹阝文厂生
薪	hik,hikj·艹立朩斤
薫	hjfm·艹丿車一灬
薬	hbxk·艹白{冫く}木
薭	hkq,hkqf·艹禾{卑上}十
薮	hxd,hxdd·艹米女攵
薯	hqy,hqyd·艹罒耂日
薰	hfq,hfqm·艹千{柬中}二灬
薱	huyf·艹业⺷寸
薲	hmhb·艹宀一{小}貝
薳	hyol·艹土口𧘇辶
薴	hmut·艹宀心皿丁
薵	hyzf·艹士乛工一口寸
薶	heqz·艹豸甲二
薷	htte·艹⻗而
薸	hcsz·艹氵覀示
薹	hyo,hyoc·艹士口冖至
薺	hivo·艹亠丷丨刀{卬左}㇏{斉下}
薻	hcmk·艹氵巛日木
薼	hjyt·艹鹿土
薽	hsyq·艹覀土一𠄌⺄丶
薾	hha,hhax·艹一八巾㐅㐅㐅㐅
薿	htl,htly·艹匕𠂉大龴乛龰
藀	hrrr·艹火火冖火
藁	hjnk·艹{享上}冂口木
藂	hsax·艹耳又丿{乑下},hsaa·艹耳又亻人人
藃	hjnr·艹{享上}冂口欠
藄	hsws·艹其糸
藅	hqj,hqjn·艹罒訁刂
藆	hmsf·艹宀{冓上}八手
藇	husa·艹{臼}丂丨八
藈	hbxr·艹目癶一大
藉	hzk,hzkd·艹二木龷日,hjkd·艹丿未龷日
藊	hkph·艹禾户冂卄
藋	heee·艹习习隹
藌	hmug·艹宀心丿虫
藍	hck,hckq·艹臣{⺮半}皿,hclq·艹臣𠂉一皿
藎	hey,heyq·艹⺕丄灬皿
藏	hgh,hghc·艹戈爿臣
藐	heb,hebw·艹豸白儿
藑	hhnd·艹⺈冂人目夊
藒	hkdh·艹禾日匃
藓	hqyy·艹鱼羊
藔	hmrx·艹宀大丷日小
藕	hzkm·艹二木日{禺下},hjkm·艹丿未日{禺下}
藖	hcab·艹臣又貝
藗	hkol·艹木口欠辶
藘	hjqu·艹虍田心
藙	higw·艹立{豕下}殳
藚	hyqb·艹士罒貝
藛	hmum·艹宀臼勹灬
藜	hkhx·艹禾勹丿人氺
藝	hyac·艹土八土丸一{至上},hywc·艹土儿土丸一{至上}
藞	httt·艹石石石
藟	hqq,hqqq·艹田田田
藠	hbbb·艹白白白
藡	hinl·艹{立上}冂古辶
藢	hmud·艹彳山一王攵
藣	hqut·艹罒厶⺝匕匕
藤	hmr,hmrx·艹月龹氺
藥	hbw,hbwk·艹白幺幺木
藦	hjfs·艹麻手
藧	hwea·艹糹爫{爰中}又
藨	hjmh·艹鹿灬
藩	hcjq·艹氵丿米田
藪	hqdd·艹{婁上}女攵
藫	hcsd·艹氵覀早
藬	hpgb·艹阝{贵上}貝
藭	hmam·艹宀八身弓,hmwm·艹宀儿身弓
藮	hkem·艹木隹灬
藯	hpzu·艹尸示寸心
藰	hcpn·艹{留左上}刀金刂
藱	hjqg·艹疒鬼
藲	hkco·艹木匚口口口
藳	hjnk·艹{享上}冂口禾
藴	hwdq·艹糹日皿
藵	hvoc·艹亻口木亠𧘇
藶	hjky·艹厂禾禾止
藷	hjyd·艹訁耂日
藸	hgyd·艹豕耂日
藹	hjd,hjdh·艹訁日匃
藺	hxev·艹門隹
藻	hco,hcok·艹氵口口口木
藼	hmfu·艹宀丰罒心,hmyu·艹宀龶罒心
藽	hikb·艹立朩見
藾	hkob·艹木口⺈貝
藿	hte,htev·艹⻗隹
蘀	hfqf·艹扌罒土䒑十
蘁	heo,heoo·艹王口口口口
蘂	huuk·艹心心心木
蘃	hyyk·艹止止止木
蘄	hooj·艹口口日十斤
蘅	hxq,hxqr·艹行{鱼上}大
蘆	hjq,hjqq·艹虍田皿
蘇	hqkh·艹魚禾
