字符,拆分
勭,立日土力
勮,虍豕力
勯,亠回旦力
勱,艹日⽱力
勲,千日二灬
勳,千二力
勴,虍田心力
勵,厂艹日力
勶,彳月力
勷,衣吅力
勸,艹吅隹力
勻,勹二
勼,勹九
勽,勹人
匁,丿刀丶
匂,勹匕
匃,勹人乙
匄,勹亡
匇,勹夕
匉,勹干丷
匊,勹米
匋,勹缶
匌,勹亼口
匎,勹大电
匑,勹身弓
匒,勹艹亼口
匓,勹彐又
匔,勹身吕
匘,匕巛乂
匛,匚丶
匜,匚也
匞,匚工
匟,匚亠几
匢,匚勿
匤,匚王丶
匥,匚厶廾
匧,匚大人人
匨,匚爿士
匩,匚屮一土
匫,匚勿日
匬,匚亼月刂
匭,匚車九
匯,匚氵隹
匰,匚吅
匱,匚貝
匲,匚大品
匳,匚亼吅人
匴,匚目廾
匵,匚士罒貝
匶,匚艹隹臼
匷,匚目目隹
匸,匚
匼,匚亼口
匽,匚日女
區,匚品
卂,卂
卄,艹
卆,九十
卋,十廿
卌,艹
卍,乙乙
卐,乙乙
協,十力力力
単,⺍
卙,其乙十
卛,言糹糹十
卝,丨一⺊
卥,⺊囗丿乂
卨,⺊冂乙口
卪,卩丶
卬,卬
卭,工卩
卲,刀口卩
卶,夕夕卩
卹,丿皿卩
卻,谷卩
卼,⺎⺈厂㔾
卽,白匕卩
卾,吅二乙卩
厀,木人氺卩
厁,人于八卩
厃,⺈厂
厇,厂丿七
厈,厂干
厊,厂牙
厎,厂氏丶
厏,厂丨二
厐,厂龙
厑,厂口匕
厒,厂缶
厓,厂土土
厔,厂一厶土
厖,厂龙丿丿
厗,厂立十
厙,厂車
厛,厂口斤
厜,厂千艹二
厞,厂非
厠,厂貝刂
厡,厂白水
厤,厂禾禾
厧,厂十八
厪,厂堇
厫,厂龶勹攵
厬,厂日夂口
厭,厂日月犬
厯,厂木木⺀
厰,厂尚攵
厱,厂亼吅人
厲,厂艹日⽱
厳,⺍厂乙攵
厴,厂日月甲
厵,厂白小小
厷,厶
厸,厶厶
厹,九厶
厺,大厶
厼,厶小
厽,厶厶厶
厾,乙土厶
叀,叀
參,厶厶厶彡
叄,厶厶厶三
叅,厶厶厶
叆,云爫冖又
叇,云彐氺辶
収,丩又
叏,丨又
叐,丿又
叒,又又又
叓,一中又
叕,又又又又
叚,丨二又
叜,宀火又
叝,土厶卩又
叞,尸示又
叡,⺊冖一又
叢,业丷干又
叧,口刀
叴,九口
叺,口丿丶
叾,了口
叿,口工
吀,口千
吂,亡口
吅,吅
吇,口子
吋,口寸
吔,口也
吘,口十
吙,口火
吚,口彐丿
吜,口乙土
吢,心口
吤,口人
吥,口不
吪,口亻
吰,口厶
吳,口乙大
吶,口冂丿丶
吷,口人
吺,口几又
吽,口牛
吿,牛口
呁,口勹冫
呂,口
呄,乃古
呅,口亠乂
呇,水口
呉,口乙一八
呌,口⺀十
呍,口云
呎,口尸丶
呏,口丿廾
呑,丿大口
呚,口攵
呝,口户乙
呞,口乙一口
呟,口亠幺
呠,口本
呡,口民
呣,口母
呥,口冂土
呧,口氏丶
呩,口示
呪,口口儿
呫,口⺊口
呬,口四
呭,口廿乙
呮,口口八
呯,口干丷
呰,止匕口
呴,口句
呹,口丿夫
呺,口口一乙
呾,口旦
呿,口土厶
咁,口甘
咃,口亻也
咅,立口
咇,口必
咈,口弓
咉,口冂大
咊,口禾
咍,口厶口
咑,口扌丁
咓,口瓦
咗,口工
咘,口巾
咜,口宀匕
咞,口开
咟,口丆日
咠,口耳
咡,口耳
咢,吅二乙
咥,口一厶土
咮,口丿未
咰,口勹日
咲,口丷天
咵,口大二乙
咶,口舌
咷,口儿
咹,口宀女
咺,口二日
咼,冂乙冂口
咾,口耂匕
哃,口冂一口
哅,口勹乂凵
哊,口月
哋,口土也
哖,口ヰ
哘,口彳亍
哛,口匕八刀
哠,口⺧口
員,口貝
哢,口王廾
哣,口豆
哤,口龙丿丿
哫,口足
哬,口亻丁口
哯,口目儿
哰,口宀牛
哱,口子
哴,口丶彐
哵,口口力刂
哶,口丨一干
哷,口爫寸
哸,口爫女
哹,口爫子
哻,口日干
哾,口丷口儿
唀,口禾乃
唂,口谷
唃,口⺈用
唄,口貝
唅,口亽乙口
唈,口口巴
唊,口大人人
唋,口人于八
唌,口丿廴
唍,口宀二儿
唎,口禾刂
唒,口西一
唓,口車
唕,口白十
唖,口亜
唗,口走
唘,石又口
唙,口犭火
唚,口彐冖又
唜,末口匕
唝,口工贝
唞,口扌⺀十
唟,土厶口匕
唡,口两
唥,口冫亽龴
唦,口氵少
唨,口阝且
唩,口禾女
唫,口金
唭,口其
唲,口臼儿
唴,口乙
唵,口大电
唶,口龷日
唸,口亽乙心
唹,口方人⺀
唺,口冂龷八
唻,口木人人
唽,口木斤
啀,口厂土土
啂,口爫子乙
啅,口⺊早
啇,亠丷冂古
啈,口土丷干
啋,口爫木
啌,口穴工
啍,口子
啎,十五口
問,門口
啑,口一彐龰
啒,口尸屮凵
啓,户攵口
啔,户戈口
啗,口⺈臼
啘,口宀夕㔾
啙,止匕吅
啚,口十回
啛,口十彐女
啝,口禾口
啞,口亞
啟,户口攵
啠,斤斤口
啢,口一巾丶
啣,口一卩
啨,口龶月
啩,口土土卜
啫,口耂日
啯,口囗王丶
啰,口罒夕
啱,口山石
啲,口白勹丶
啳,口丷夫㔾
啴,口丷
啹,口尸古
啺,口旦勿
啽,口亼口廾
啿,口其乙
喅,口日立
喆,士口士口
喌,吅⺍川
喍,口止匕木
喎,口冂乙口
喐,口月阝
喒,口夂卜日
喓,口覀女
喕,口丆囬
喖,口木古
喗,口冖車
喚,口⺈冂大
喛,口爫二夂
喞,口白匕卩
喠,口千日二
喡,口丨㐄
喢,口千臼
喣,口句灬
喤,口白王
喥,口广廿又
喦,品山
喨,口冖几
喩,口丿丶乙
喪,土吅
喫,口三丨大
喬,丿大口口
喭,口立丿彡
單,吅
喯,口大十廾
喰,口食
喲,口糹勹丶
喴,口戌女
営,⺍冖吕
喸,甫口匕
喺,口亻系
喼,口⺈彐心
喿,品木
嗀,士冖一又
嗁,口⺁虍几
嗂,口爫缶
嗃,口高
嗆,口亽彐口
嗇,土人人回
嗈,口巛口巴
嗊,口工貝
嗋,口力力月
嗎,口馬
嗏,口艹人朩
嗐,口宀三口
嗕,口厂二寸
嗗,口骨
嗘,口爫幺大
嗙,口方
嗚,口烏
嗛,口丷一
嗞,口丷一幺
嗠,爫子夂口
嗢,口日皿
嗧,力口亼艹
嗩,口貝
嗭,十口匕
嗮,口日西
嗰,口亻囗古
嗱,口亼口手
嗴,口乙厶
嗶,口龷
嗸,龶勹攵口
嗹,口車辶
嗺,口山隹
嗻,口广廿灬
嗼,口艹日大
嗿,口亽乙貝
嘂,吕丩吕
嘃,口广彐丨
嘄,口亻彐木
嘅,口彐儿
嘆,口廿口夫
嘇,口厶厶彡
嘊,口山厂土
嘋,口耂子攵
嘍,口口十女
嘐,口羽人彡
嘑,口虍乎
嘒,口三丨彐
嘓,口囗戈一
嘔,口匚品
嘕,口一止灬
嘖,口龶貝
嘗,尚匕日
嘙,口氵皮女
嘚,口彳旦寸
嘜,口木人夂
嘝,口⺈用十
嘠,口丆冂戈
嘡,口尚土
嘢,口日土予
嘥,口彳止龰
嘦,口八覀女
嘨,口彐米
嘩,口艹一十
嘪,口罒貝
嘫,口犬灬
嘮,口火火力
嘯,口彐丨一
嘰,口幺幺丶
嘳,口貝
嘵,口土土⺎
嘷,口自十
嘸,口龷灬
嘺,口丿大口
嘼,吅田一口
嘽,口吅
嘾,口覀早
噀,口巳巳八
噁,口亞心
噂,口丷西寸
噃,口禾丷田
噄,口三丨糸
噅,口爫灬
噆,口匚儿日
噇,口立日土
噈,口小丶
噉,口乙耳攵
噊,口矛冂口
噋,口子攵
噏,口亼口羽
噐,吅工吅
噑,口白十
噒,口米夕㐄
噓,口虍乙一
噕,爫灬口
噖,口王王乙
噚,口彐工寸
噛,口止米凵
噝,口糹糸
噞,口亼吅人
噟,广亻隹口
噠,口土羊辶
噡,口⺈厂言
噣,口罒勹虫
噥,口囗艹
噦,口止戌
噧,口艹日⽱
噭,口白方攵
噮,口罒一
噯,口爫冖夂
噰,口亠乡隹
噲,口亼日
噳,口虍口天
噴,口十艹貝
噵,首辶口
噷,口立日欠
噸,口屯頁
噹,口尚田
噺,口亲斤
噽,壴口不一
噾,口穴立日
噿,口羽亠十
嚀,口宀心丁
嚁,口羽隹
嚂,口臣皿
嚃,口罒氺辶
嚄,口艹隹又
嚇,口土
嚈,口厂日犬
嚉,口业⺷寸
嚊,口自田
嚋,口士乙寸
嚌,口亠丷二
嚍,口彐丨皿
嚐,口尚匕日
嚑,口千灬
嚒,口麻幺
嚔,口田龰
嚕,口魚日
嚖,口三丨心
嚗,口日龷氺
嚘,口丆冂夂
嚙,口齒
嚚,吅臣吅
嚛,口白幺木
嚜,口黑土
嚝,口广龷八
嚞,士口士口
嚟,口禾勹氺
嚠,口丶刂
嚡,口革土土
嚢,八
嚤,口麻手
嚥,口廿口灬
嚦,口厂禾止
嚧,口虍田皿
嚨,口立月三
嚩,口糹甫寸
嚪,口門⺈臼
嚫,口亲目儿
嚬,口止頁
嚭,壴口不口
嚮,乡丶彐口
嚰,口麻石
嚱,口虍豆戈
嚲,子吅
嚳,⺽乂乂口
嚴,吅厂乙攵
嚵,口⺈口兔
嚶,口貝貝女
嚸,口黑⺊口
嚹,口缶虍乎
嚺,口罒丷辶
嚻,吕頁吕
嚽,口龶勹貝
嚾,口艹吅隹
嚿,口艹隹臼
囀,口車寸
囁,口耳耳耳
囂,吅頁吅
囃,口亠人隹
囄,口㐫禸隹
囅,吅尸
囆,口艹日虫
囇,口一冂鹿
囈,口艹土云
囉,口罒糹隹
囋,口⺧儿貝
囌,口艹魚禾
囍,壴口壴口
囎,口貝丷日
囏,廿口夫口
囐,口虍一犬
囑,口尸氺虫
囒,口艹門
囓,口三丨齒
囕,口臣儿
囖,口罒隹
囘,冂巳
囙,囗
囜,囗厶
団,囗寸
囥,囗亠几
囦,囗水
囧,囗八冂
囨,囗不
囩,囗云
囪,丿乂
囬,囬
囮,囗亻
囯,囗王
囲,囗井
図,囗⺀乂
囶,囗八土
囷,囗禾
囸,囗一止
囻,囗民
囼,囗厶口
圀,囗八方
圁,囗言
圂,囗豕
圅,龴囗丷干
圇,囗亼冂艹
國,囗戈口一
圌,囗山而
圍,囗丨㐄
圎,囗厶貝
圏,囗丷夫己
圐,囗罒方
圑,囗甫寸
園,囗土口
圓,囗口貝
圔,囗土厶皿
圕,囗彐土日
圖,囗口十回
圗,囗厶十囬
團,囗寸
圙,囗八丆囬
圚,囗貝
圛,囗罒土干
圝,囗言糹糹
圞,囗言糹木
圠,土乙
圡,土丶
圢,土丁
圤,土卜
圥,土儿
圦,土丿丶
圧,厂土
圫,土丿七
圱,丿土
圲,土千
圴,土勹丶
圵,土上
圶,大土
圷,土下
圸,土山
圼,日土
圽,土勿
圿,土人
坁,土氏
坃,土二儿
坄,土几又
坅,土亽乙
坆,土攵
坈,土冖几
坉,土屯
坋,土八刀
坒,匕匕土
坓,井土
坔,水土
坕,爪土
坖,二儿土
坘,土一彑
坙,一巛土
坢,土丷二丨
坣,冖土
坥,土且
坧,土石
坬,土瓜
坮,土厶口
坰,土冂口
坱,土冂大
坲,土弓
坴,土八土
坵,土丘
坸,土句
坹,土穴
坺,土犮
坽,土亽龴
坾,土宀丁
坿,土亻寸
垀,土乎
垁,土矢
垇,土凹
垈,亻弋土
垉,土勹巳
垊,土民
垍,土自
垎,土夂口
垏,土彐二丨
垐,冫欠土
垑,土夕夕
垔,覀土
垕,𠂋口
垖,土
垗,土儿
垘,土亻犬
垙,土⺎
垚,土土土
垜,土乃木
垝,土⺈厂㔾
垞,土宀丿七
垟,土羊
垥,土亼口
垨,土宀寸
垪,土丷开
垬,土龷八
垯,土大辶
垰,土上下
垱,土彐
垳,土彳亍
垵,土宀女
垶,土立十
垷,土目儿
垹,土三丿阝
垺,土爫子
垻,土貝
垼,彳几又土
垽,氵斤土
垾,土日干
垿,土广予
埀,千丬匕二
埁,土山亽乙
埄,土夂三丨
埅,阝方土
埆,土⺈用
埇,土龴用
埈,土厶八夂
埉,土大人人
埊,山水土
埌,土丶彐
埍,土口月
埐,土彐冖又
埑,扌斤土
埓,土爫寸
埖,土艹亻
埗,土止
埛,土冂八口
埜,木木土
埞,土宀一龰
埡,土亞
埢,土丷夫㔾
埣,土亠人十
埥,土龶月
埦,土宀夕㔾
埧,土八
埨,土亼冂艹
埩,土⺈彐丨
埪,土穴工
埫,土尚
埬,土木日
埮,土火火
埰,土爫木
埱,土上小又
埲,土二丨
埳,土⺈臼
埵,土千艹二
埶,土八土丶
執,土丷干丶
埻,土子
埼,土大丁口
埾,耳又土
埿,氵尸匕土
堁,土日木
堃,方方土
堄,土臼儿
堅,臣又土
堈,土冂丷山
堉,土月
堊,亞土
堌,土囗古
堎,土土八夂
堏,木方土
堐,土厂土土
堒,土日匕匕
堓,土山厂干
堔,土冖八木
堖,土巛乂
堗,土穴犬
堘,土丷夫土
堚,土冖車
堛,土一口田
堜,土木
堝,土冂乙口
堟,土彑
堢,土亻口木
堣,土日⽱
堥,矛攵土
堦,土匕匕白
堧,土而大
堨,土日勹乙
堩,土忄二
堫,土乂凵夂
堬,土亼月刂
堭,土白王
堮,土吅二乙
堯,土土土⺎
報,土丷干又
堲,彐卩土
堳,土尸丨目
場,土旦勿
堶,土工月
堷,土立日
堸,土几丿虫
堹,土千日二
堺,土田人
堻,氵彐二土
堼,土土寸土
堽,土罒一止
堾,土日
堿,土戌口
塀,土尸丷开
塁,田土
塂,土龷八巳
塃,土艹亡
塅,土几又
塆,土亦弓
塇,土宀二日
塈,彐匚土
塉,土人月
塊,土白儿厶
塋,火火冖土
塎,土宀谷
塏,土山豆
塐,土龶糸
塒,土日土寸
塓,土冖日六
塕,土八厶羽
塖,土禾丬匕
塗,氵人于土
塙,土高
塚,土冖豕丶
塛,土覀木
塜,土冖一豕
塝,土方
塟,艹歹匕土
塠,土辶
塡,土匕目八
塢,土烏
塣,氵口王土
塤,土口貝
塦,阝車土
塧,土皿
塨,土龷八
塩,土口皿
塪,土爫臼
塭,土日皿
塮,土身寸
塯,土丶田
塰,氵母土
塱,丶彐土
塲,土旦勿
塳,土夂三辶
塴,土山月月
塵,鹿土
塶,土鹿
塷,土⺊囗⺀
塸,土匚品
塹,車斤土
塺,麻土
塻,土艹日大
塼,土寸
塽,土大乂乂
塿,土口十女
墂,土覀示
墄,土戊上小
墆,土廿儿巾
墇,土立早
墈,土其乙力
墊,土丷干土
墋,土厶厶彡
墌,土广廿灬
墍,白匕匚土
墎,土子阝
墏,爿寸土
墐,土堇
墑,土亠丷古
墔,土山隹
墕,土一止灬
墖,土亼口田
増,土丷田日
墘,土十早乙
墛,土尸示寸
墜,阝丷豕土
墝,土土土⺎
墠,土吅
墡,土羊丷口
墢,土癶弓又
墣,土业丶
墤,土貝
墥,土立日土
墦,土禾丷田
墧,土丿大口
墪,子攵土
墫,土丷西寸
墬,阝彑土
墭,土戊乙皿
墮,阝工土
墯,忄工土
墰,土覀早
墱,土癶豆
墲,土龷灬
墳,土十艹貝
墴,土龷由八
墵,土⻗云
墶,土土羊辶
墷,土艹一十
墸,土艹耂日
墹,土門日
墺,土米大
墻,土土人回
墽,土白方攵
墾,豸彐土
墿,土罒土干
壀,土尸口十
壂,尸龷八土
壃,土三田田
壄,木矛木土
壆,⺽乂乂土
壇,土亠回旦
壈,土亠回禾
壉,土虍豕
壊,土十罒衣
壋,土尚田
壌,土衣八
壍,氵車斤土
壎,土千灬
壏,土臣皿
壐,一八巾土
壒,土艹土皿
壓,厂日月土
壔,土士乙寸
壖,土⻗而
壗,土彐丨皿
壘,田田田土
壙,土广龷八
壚,土虍田皿
壛,土門⺈臼
壜,土日⻗云
壝,土貝辶
壞,土衣罒氺
壟,立月一土
壠,土立月三
壡,⺊冖一土
壢,土厂禾止
壣,土耳幺乙
壥,土厂黑土
壦,土艹吅隹
壧,土吅厂攵
壨,田田田土
壩,土⻗革月
壪,土言糹弓
壭,士卩
壯,爿士
壱,士冖匕
売,士冖儿
壴,壴
壵,士士士
壷,士冖
壸,士冖亚
壺,士冖丨一
壻,土乙龰月
壼,士冖亞
壽,士乙工寸
壾,壴匚
壿,士丷西寸
夀,二乙口寸
夁,士罒囗古
夃,乃又
夅,夂㐄
夆,夂三丨
夈,夂米
変,亦夂
夊,夂
夋,厶八夂
夌,土八夂
夎,人人土夂
夐,⺈冂人夂
夑,言火火夂
夒,丆目止夂
夓,⺽丆目夂
夗,夕㔾
夘,夕卩
夛,彐夕
夝,夕生
夞,夕卜口匕
夠,夕夕句
夡,夕夕士口
夢,艹罒冖夕
夣,罒冖夕
夦,其乙夕夕
夨,一乙丶
夬,人
夰,大
夲,大十
夳,大二
夵,大小
夶,大大
夻,大口
夽,大云
夾,大人人
夿,大巴
奀,不大
奃,大氏丶
奅,大卯
奆,大匚
奊,土土一丶
奌,⺊口大
奍,丷夫
奐,⺈冂八大
奒,大亥
奓,大夕夕
奙,厶大电
奛,大日月
奜,非大
奝,大⺆土口
奞,大隹
奟,大月月
奡,丆目大
奣,天日月
奤,大丆囬
奦,矛夂力大
奧,禾丷大
奨,丬爫寸大
奩,大匚品
奪,大隹寸
奫,大氵片一
奬,爿寸大
奭,大丆日日
奮,大隹田
奯,大止戌
奰,罒罒罒大
奱,言糹糹大
奲,大耂日
奵,女丁
奷,女千
奺,女丶
奻,女女
奼,女丿七
奾,女山
奿,九丶女
妀,己女
妅,女工
妉,女冖儿
妋,女夫
妌,女井
妎,女人
妏,女亠乂
妐,女八厶
妑,女巴
妔,女亠几
妕,女中
妘,女云
妚,女不
妛,屮一女
妜,女人
妝,爿女
妟,日女
妠,女冂人
妡,女斤
妢,女八刀
妦,女三丨
妧,女二儿
妬,女石
妭,女犮
妰,女丨二
妱,女刀口
妳,女⺈小
妴,夕㔾女
妵,女丶王
妶,女亠幺
妷,女丿夫
妸,女丁口
妺,女末
妼,女必
妽,女申
妿,力口女
姀,女禾
姁,女句
姂,女丿之
姃,女一止
姄,女民
姅,女丷二丨
姇,亻寸女
姈,女亽龴
姉,女一巾
姌,女冂土
姍,女冂艹
姎,女冂大
姏,女甘
姕,止匕女
姖,女匚
姙,女亻丿士
姛,女冂一口
姞,女士口
姟,女亥
姠,女口
姡,女舌
姢,女厶月
姤,女𠂋
姦,女女女
姧,女女干
姩,女ヰ
姪,女一厶土
姫,女臣
姭,力力力女
姮,女二日
姯,女⺎
姰,女勹日
姱,女大二乙
姲,女宀女
姳,女夕口
姴,歹刂女
姵,女几一巾
姶,女亼口
姷,女月
姸,女一干
姺,女⺧儿
姼,女夕夕
姽,女⺈厂㔾
姾,女人王
娀,女戈
娂,女龷八
娊,女目儿
娋,女月
娍,女戊乙
娎,扌斤女
娏,女龙丿丿
娐,女爫子
娒,女母
娔,女古儿
娕,女木口
娖,女足
娗,女丿士廴
娙,女一巛工
娚,女田力
娛,女口乙大
娝,女不口
娞,女爫女
娡,女士心
娢,女亽乙口
娤,爿士女
娦,女丘八
娧,女丷口儿
娨,女日干
娪,女五口
娫,女丿廴
娬,女一弋止
娭,女厶矢
娮,女言
娯,女口乙八
娰,女亻乙人
娳,女禾刂
娵,女耳又
娷,女千艹二
娸,女其
娹,女弓亠幺
娺,女又又又
娻,女木日
娽,女彐氺
娾,女厂土土
娿,阝丁口女
婁,口十口女
婂,女白巾
婃,女宀示
婄,女立口
婅,女勹米
婇,女爫木
婈,女土八夂
婋,女虍几
婌,女上小又
婍,女大丁口
婎,女隹
婏,女兔
婐,女日木
婑,女禾女
婒,女火火
婓,非女
婔,女非
婖,女天
婗,女臼儿
婘,女丷夫㔾
婙,女⺈彐丨
婛,女小
婜,臣又女
婝,女宀一龰
婞,女土丷干
婟,女囗古
婠,女宀㠯
婡,女木人人
婣,女片爿一
婤,女⺆土口
婥,女⺊早
婦,女彐冖巾
婨,女亼冂艹
婩,女山厂干
婫,女日匕匕
婬,女爫丿士
婭,女亞
婮,女尸古
婯,一冂丶女
婰,女冂龷八
婱,弓亠幺女
婲,女艹亻
婳,女一田凵
婸,女旦勿
婹,女覀女
婻,女十冂干
婼,女艹口
婽,女丨又
婾,女丿丶乙
媀,女日⽱
媁,女丨㐄
媂,女巾
媃,女矛木
媄,女⺷大
媅,女其乙
媆,女而大
媇,女亲
媈,女冖車
媉,女尸一土
媊,女丷一刂
媋,女日
媌,女艹田
媍,女⺈貝
媎,女耂日
媏,女山而
媐,巳女
媑,女千日二
媓,女白王
媔,女丆囬
媕,女亼口廾
媖,女艹冂大
媗,女宀二日
媘,女匕匕白
媙,女戌女
媜,女⺊貝
媝,禾火女
媞,女旦龰
媟,女廿乙木
媠,女工月
媡,女木
媢,女曰目
媣,女氵九木
媤,女田心
媥,女户冂艹
媦,女田月
媧,女冂乙口
媨,女丷西一
媩,女古月
媫,女⺊彐龰
媬,女亻口木
媭,彡页女
媮,女亼月刂
媯,女丶灬
媰,女勹䶹䶹
媱,女爫缶
媴,女土口
媶,女艹耳
媷,女厂二寸
媹,女丶田
媺,女山一攵
媻,舟几又女
媼,女囗人皿
媽,女馬
媿,女白儿厶
嫀,女禾
嫃,女十八
嫄,女厂白小
嫅,女工
嫆,女宀谷
嫇,女冖日六
嫈,火火冖女
嫊,女龶糸
嫋,女弓冫冫
嫍,女爫臼
嫎,女方
嫏,女丶彐阝
嫐,女田力女
嫑,不覀女
嫓,女⺈冂匕
嫕,女匚矢心
嫗,女匚品
嫙,女方龰
嫚,女日罒又
嫛,匚矢几女
嫝,女广彐氺
嫞,女广彐丨
嫟,女匚艹口
嫢,夫目儿女
嫤,女堇
嫥,女寸
嫧,女龶貝
嫨,女廿口夫
嫪,女羽人彡
嫬,女广廿灬
嫭,女虍乎
嫮,女⻗二乙
嫯,龶勹攵女
嫰,女木口欠
嫲,女麻
嫳,㡀攵女
嫴,女古立十
嫵,女龷灬
嫶,女隹灬
嫷,女阝月
嫸,女羊丷口
嫹,女龷由八
嫺,女門月
嫻,女門木
嫼,女黑
嫽,女大丷小
嫾,女米夕㐄
嫿,女彐土一
嬀,女爫灬
嬁,女癶豆
嬂,女立戈日
嬃,彡頁女
嬄,女士冖豆
嬅,女艹一十
嬆,女亼口羽
嬇,女貝
嬈,女土土⺎
嬊,廿口丬女
嬋,女吅
嬌,女丿大口
嬍,女山一攵
嬎,女免生
嬏,女禾丷田
嬐,女亼吅人
嬑,女立日心
嬒,女亼日
嬓,女白方攵
嬔,女兔生
嬕,女罒土干
嬘,女丷豕辶
嬙,女土人回
嬚,女广丷
嬛,女罒一
嬜,立日欠女
嬝,女亻彐衣
嬞,女艹千二
嬟,女⺷丿戈
嬠,女品木
嬡,女爫冖夂
嬢,女衣八
嬣,女宀心丁
嬤,女麻幺
嬥,女羽隹
嬦,女士乙寸
嬧,女彐丨皿
嬨,女丷一心
嬩,女⺽一八
嬪,女宀一貝
嬫,女火火木
嬬,女⻗而
嬭,女一八乂
嬮,厂日月女
嬯,女士口土
嬰,貝貝女
嬱,氵車斤女
嬳,女艹隹又
嬵,女糹白巾
嬶,女自田
嬸,女宀禾田
嬹,女⺽冂八
嬺,女匚艹心
嬻,女士罒貝
嬼,女丶刂
嬽,女罒罒大
嬾,女木口貝
嬿,女廿口灬
孁,⻗口口女
孂,女彐皿
孃,女衣吅
孄,女門木
孅,女人人一
孆,女貝貝女
孇,女隹隹又
孈,女山隹口
孉,女艹吅隹
孊,女麻非
孋,女一冂鹿
孌,言糹糹女
孍,女吅厂攵
孎,女尸氺虫
孏,女艹門
孒,了一
孖,子子
孞,子心
孠,乙一口子
孡,子厶口
孧,幺力子
孨,子子子
孫,子系
孭,子貝
孮,子宀示
孯,臣又子
孲,子亞
孴,子子子日
孶,艹幺幺子
孷,未攵厂子
學,⺽乂乂子
孹,尸口立子
孻,子彐丨皿
孼,䶹立子
孾,子貝貝女
孿,言糹糹子
宂,宀几
宆,宀弓
宊,宀犬
宍,宀六
宎,宀丿大
宐,宀夕一
宑,宀井
宒,宀毛
宔,宀丶王
宖,宀弓厶
実,宀
宧,宀
宨,宀儿
宩,宀米
宬,宀戊乙
宭,宀彐丿口
宮,宀口
宯,宀耂子
宱,宀亻二
宲,宀口木
宷,宀禾丷
宺,宀口一
宻,宀又丷山
宼,宀二儿女
寀,宀爫木
寁,宀一彐龰
寃,宀兔
寈,宀龶月
寉,宀隹
寊,宀⺊貝
寋,宀八㔾
寍,宀心皿
寎,宀爿一人
寏,宀⺈冂大
寑,宀亻彐又
寔,宀旦龰
寕,宀丆罒丁
寖,宀氵彐又
寗,宀必冂土
寘,宀十八
寙,宀瓜瓜
寚,宀王缶
寛,宀艹目儿
寜,宀心皿丨
寠,宀口十女
寢,宀爿彐又
寣,宀爿言
實,宀囗十貝
寧,宀心皿丁
審,宀禾丷田
寪,宀爫灬
寫,宀臼勹灬
寬,宀艹目丶
寭,宀心
寯,宀隹乙
寱,宀爿自木
寲,宀匕矢龰
寳,宀王⺈貝
寴,宀亲目儿
寵,宀立月三
寶,宀王缶貝
寷,宀山三豆
寽,爫寸
対,亠乂寸
尀,匚口寸
専,一由寸
尃,甫寸
尅,古儿寸
將,爿寸
專,寸
尋,彐工口寸
尌,壴寸
對,业⺷寸
導,首辶寸
尐,小丶
尒,人小
尓,小
尗,上小
尙,小冂口
尛,小小小
尞,大丷日小
尟,旦龰少
尠,其乙少
尡,⺎日匕
尣,八儿
尦,八儿勹丶
尨,龙丿丿
尩,八儿王
尪,尢王
尫,⺎王
尭,十艹⺎
尮,尢乃木
尯,尢⺈厂㔾
尰,尢千日二
尲,尢丷一
尳,尢骨
尵,尢貝
尶,⺎臣皿
尷,尢臣皿
屃,尸贝
屄,尸穴
屆,尸土凵
屇,尸田
屌,尸口巾
屍,尸歹匕
屒,尸厂二
屓,尸貝
屔,丘尸匕
屖,尸立十
屗,尸毛寸
屘,尸毛子
屚,尸雨
屛,尸丿一干
屜,尸彳廿乙
屝,尸非
屟,尸廿乙木
屢,尸口十女
層,尸丷日
屧,尸彳廿木
屨,尸彳口女
屩,尸彳丿口
屪,尸宀大小
屫,尸爿丿口
屬,尸氺罒虫
屭,尸貝貝貝
屰,屰
屲,丿山
屳,丿丶山
屴,山力
屵,山厂
屶,山刀
屷,山乃
屸,山工
屻,山刀丶
屼,山⺎
屽,山干
屾,山山
岀,山山
岃,山刀丶
岄,山月
岅,山⺁又
岆,山丿大
岇,山卬
岉,山勿
岊,巴山
岋,山乃丶
岎,山八刀
岏,山二儿
岒,山亽乙
岓,山斤
岕,山人
岝,山丨二
岞,山丨二
岟,山冂大
岠,山匚
岡,冂丷一山
岤,山穴
岥,山皮
岦,山立
岧,山刀口
岨,山且
岪,山弓
岮,山宀匕
岯,山不一
岰,山幺力
岲,山口儿
岴,山丘
岶,山白
岹,山刀口
岺,山亽龴
岻,山氏丶
岼,山干丷
岾,山⺊口
峀,山由
峂,山夂⺀
峃,⺍冖山
峅,山厶廾
峆,山亼口
峇,山亼口
峈,山夂口
峉,山夂口
峊,山
峌,山一厶土
峍,山彐二丨
峎,山彐
峏,山而
峐,山亥
峑,山人王
峓,山大弓
峔,山耂匕
峕,山亠日
峖,山宀女
峗,山⺈厂㔾
峘,山二日
峚,山大土
峛,山歹刂
峜,山人止
峝,山冂一口
峞,山⺈厂㔾
峟,山月
峠,山上下
峢,山歹刂
峣,山⺎
峧,山六乂
峩,山丿扌戈
峫,山牙阝
峬,山甫
峮,山彐丿口
峯,山夂三丨
峱,犭乙土山
峲,山禾刂
峳,山亻丨攵
峴,山目儿
峵,山宀厶
島,亻彐一山
峷,山立十
峸,山戊乙
峹,人于八山
