字符,拆分
假,亻丨又
例,亻歹刂
后,𠂋
他,亻也
民,民
会,人云
亿,亻乙
们,亻门
便,亻一日乂
人,人
从,人人
作,亻丨二
化,亻
住,亻丶王
件,亻牛
体,亻本
低,亻氏丶
伐,亻戈
每,母
等,土寸
簿,氵甫寸
耐,而寸
而,而
磨,麻石
年,ヰ
季,禾子
秒,禾少
县,且厶
知,矢口
秀,禾乃
笑,丿大
香,禾日
短,矢豆
管,宀㠯
且,且
舞,龷㐄
书,书
租,禾且
笔,毛
种,禾中
五,五
乘,禾丬匕
笏,勿
第,弓丨丿
约,纟勹丶
周,⺆土口
经,纟ス工
绿,纟彐氺
维,纟隹
发,发
军,冖车
见,冂儿
东,小
惠,心
织,纟口八
级,纟乃丶
毛,毛
旨,匕日
红,纟工
皮,皮
七,七
纯,纟屯
内,冂人
组,纟且
比,匕匕
留,丶刀田
写,冖二乙
乡,乡
纸,纟氏
切,七刀
炮,火勹巳
社,礻土
烦,火页
灯,火丁
烛,火虫
主,丶王
祉,礻止
火,火
炒,火少
忠,中心
占,⺊口
煤,火甘木
餐,⺊夕又食
神,礻申
为,丶丶
炉,火户
福,礻一口田
义,丶乂
示,示
祖,礻且
视,礻冂儿
卡,上卜
祥,礻羊
下,下
炫,火亠幺
中,中
狗,犭句
特,牜土寸
驯,马川
虐,虍
二,二
狂,犭王
骇,马亥
元,二儿
击,二山
犯,犭㔾
告,⺧口
两,两
马,马
牛,牛
与,二乙
驴,马户
犬,犬
虚,虍业
鼠,鼠
兔,兔
制,牛冂刂
养,丶
骥,马丬匕八
物,牜勿
骁,马⺎
欣,斤欠
本,本
耕,耒井
村,木寸
棒,木二丨
权,木又
干,干
版,片⺁又
平,干丷
相,木目
整,木口攵止
近,斤辶
木,木
查,木旦
机,木几
片,片
梗,木一日乂
模,木艹日大
枪,木人㔾
梅,木母
北,丬匕
标,木示
样,木羊
林,木木
校,木六乂
刊,干刂
要,覀女
亩,亠田
贾,覀贝
衬,衤寸
帷,巾隹
方,方
覆,覀彳夂
裤,衤广车
商,亠丷冂口
忽,勿心
帕,巾白
六,六
帐,巾丿一丶
帽,巾曰目
帆,巾几丶
酉,西一
文,亠乂
夜,亠亻夂丶
族,方矢
被,衤皮
补,衤卜
勿,勿
西,西
市,亠巾
初,衤刀
威,戌女
铺,钅甫
预,予页
刀,刀
锥,钅隹
锋,钅夂三丨
戈,戈
尧,⺎
费,弓贝
金,金
或,戈口一
引,弓丨
张,弓丿一丶
弱,弓冫弓冫
成,戊乙
针,钅十
错,钅龷日
锈,钅禾乃
钢,钅冂乂
钟,钅中
戊,戊
柔,矛木
予,予
钱,钅戋
姆,女母
