字符,拆分
伪,亻〈刀中〉乙丶
伫,亻宀一
伬,亻尸丶
伭,亻亠幺
伮,亻女又
伯,亻丿日
估,亻十口
伱,亻〈全字头〉小
伲,亻尸匕
伳,亻艹一乚
伴,亻丷〈举字底〉
伵,亻〈见二〉儿一
伶,亻亽乙丶
伷,亻由
伸,亻申
伹,亻〈见二〉三
伺,亻乙一口
伻,亻一丷十
似,亻乚丶人
伽,亻乙丿口
伾,亻丆丨丶一
伿,亻只
佀,亻㠯
佁,亻厶口
佂,亻一止
佃,亻田
佄,亻艹二
佅,亻未
但,亻日一
佇,亻宀一丨
佈,亻〈左字框〉巾
佉,亻土厶
佊,亻皮
佋,亻刀口
佌,亻止匕
位,亻〈立无横〉一
低,亻〈印字旁〉乚丶
住,亻亠土
佐,亻〈左字框〉丅一
佑,亻〈左字框〉口
佒,亻〈见二〉大
体,亻本
佔,亻〈卢字头〉口
何,亻一口丨
佖,亻必
佗,亻它
佘,〈全字头〉二小
余,亼朩
佚,亻丿夫
佛,亻弓〈乔字底〉
作,亻〈卧人〉丨二
佝,亻句
佞,亻二女
佟,亻夂〈冬字底〉
你,亻〈负字头〉小
佡,亻〈全字头〉山
佢,亻一〈叚右角〉乚
佣,亻〈周字框〉〈举字底〉
佤,亻瓦
佥,亼〈学字头〉一
佦,亻丆口
佧,亻卡
佨,亻勹巳
佩,亻〈风省〉一巾
佪,亻回
佫,亻夂口
佬,亻老
佭,亻夂〈牙二〉丨
佮,亻亼口
佯,亻丷一〈举字底〉
佰,亻丆日
佱,亼一止
佲,亻〈久二〉丶口
佳,亻土土
佴,亻一〈耳无一〉
併,亻丷开
佶,亻士口
佷,亻艮
佸,亻丿十口
佹,亻〈负字头〉厂乙乚
佺,亻全
佻,亻丿冫乚〈飞无折〉
佼,亻六乂
佽,亻冫欠
佾,亻八〈青字底〉
使,亻一口乂
侀,亻开刂
侁,亻丿土儿
侂,亻广丿七
侃,亻口〈荒字底〉
侄,亻一厶土
侅,亻亠〈亥无亠无人〉人
來,一人人〈木无横〉
侇,亻一弓人
侈,亻〈久二〉丶〈久二〉丶
侉,亻大二乚
侊,亻〈尚字头〉一儿
例,亻歹刂
侌,亽乙二厶
侍,亻土寸
侎,亻丷木
侏,亻朱
侐,亻丿皿
侑,亻〈左字框〉〈青字底〉
侒,亻宀女
侓,亻〈聿三〉〈举字底〉
侔,亻厶丿〈举字底〉
侕,亻丆冂〈临字旁〉
侖,亼冂艹
侗,亻同
侘,亻宀丿七
侙,亻一丅一乚丶
侚,亻勹日
供,亻共
侜,亻丿〈舟无撇〉
依,亻亠丿乚〈水字边〉
侞,亻女口
侟,亻〈左字框〉丨乙〈子字底〉
侠,亻一丷大
価,亻覀
侢,亻一冂〈里无日〉
侣,亻口口
侤,亻十〈左字框〉一乚
侥,亻一〈戈无亠〉一儿
侦,亻〈卢字头〉〈见二〉人
侧,亻〈见二〉人刂
侨,亻夭〈乔字底〉
侩,亻〈全字头〉二厶
侪,亻亠乂〈乔字底〉
侫,亻亠乚女
侬,亻冖丿乚〈水字边〉
侭,亻尸丶〈冬字底〉
侮,亻〈卧人〉乚乙亠丶
侯,亻乙一〈卧人〉大
侰,亻〈聿三〉丿口
侱,亻口王
侲,亻厂二乚〈水字边〉
侳,亻人人土
侴,亼乙〈里无日〉刂
侵,亻彐冖又
侶,亻口丿口
侷,亻尸乙口
侸,亻一口丷一
侹,亻丿士乙丶
侺,亻山亽乙
侻,亻丷兄
侼,亻十冖乙〈子字底〉
侽,亻田乙丿
侾,亻十〈左字框〉乙〈子字底〉
便,亻一日乂
俀,亻爫女
俁,亻口乚大
係,亻丿幺小
促,亻口龰
俄,亻丿扌〈戈无一〉
俅,亻〈于无横〉〈率字腰〉丶
俆,亻亼朩
俇,亻〈犭二〉丿王
俈,亻丿土口
俉,亻丅乙一口
俊,亻厶八夂
俋,亻口〈巴三〉乚
俌,亻一〈青字底〉丨丶
俍,亻丶艮
俎,人人〈见二〉三
俏,亻〈尚字头〉〈青字底〉
俐,亻丿木刂
俑,亻乙丶冂〈举字底〉
俒,亻宀二儿
俓,亻一巛丅一
俔,亻目儿
俕,亻宀木
俖,亻丆丨丶口
俗,亻谷
俘,亻爫乙〈子字底〉
俙,亻乂〈左字框〉巾
俚,亻甲二
俛,亻免
俜,亻由一乚
保,亻口木
俞,亼〈青字底〉刂
俟,亻厶〈卧人〉大
俠,亻一人人人
信,亻言
俢,亻夂彡
俣,亻口一大
俤,亻丷弓丨丿
俥,亻一〈車无一〉
俦,亻三丿寸
俧,亻士心
俨,亻一〈业无横〉厂
俩,亻一冂人人
俪,亻一冂丶冂丶
俫,亻一丷木
俬,亻丿木厶
俭,亻亼〈学字头〉一
修,亻丨夂彡
俯,亻广亻寸
俰,亻丿木口
俱,亻〈见二〉〈四横〉八
俲,亻六乂乙丿
俳,亻非
俴,亻一〈戈无一〉一〈戈无一〉
俵,亻龶丿乚〈水字边〉
俶,亻上小又
俷,亻月〈巴三〉乚
俸,亻三人〈举字底〉
俹,亻一〈亞无二〉一
俺,亻大日乚
俻,亻夂田
俼,亻亠厶〈青字底〉
俽,亻〈反字框〉丅欠
俾,亻卑
俿,亻虍几
倀,亻〈镸无厶〉乚〈水字边〉
倁,亻〈卧人〉大口
倂,亻丿〈无三〉丿干
倃,亻夂丨丶口
倄,亻乂〈左字框〉〈青字底〉
倅,亻亠人人十
倆,亻一巾丿丶丿丶
倇,亻宀〈久二〉丶乙乚
倈,亻一人人〈木无横〉
倉,亽彐丿口
倊,亻八厶心
個,亻〈见二〉十口一
倌,亻宀㠯
倍,亻〈立无横〉一口
倎,亻〈见二〉龷八
倏,亻丨夂犬
倐,亻丨夂火
們,亻〈門字旁〉〈門字边〉
倒,亻一厶土刂
倓,亻火火
倔,亻尸出
倕,亻丿十龷一
倖,亻土丷干
倗,亻月月
倘,亻〈尚字头〉冂口
候,亻丨乙一〈卧人〉大
倚,亻大一口丨
倛,亻艹三八
倜,亻〈周字框〉土口
倝,十早人
倞,亻京
借,亻龷日
倠,亻亻〈隹字边〉
倡,亻日日
倢,亻一〈聿三〉龰
倣,亻方攵
値,亻十目乚
倥,亻宀八丅一
倦,亻丷夫乙乚
倧,亻宀二小
倨,亻尸十口
倩,亻龶〈青字底〉
倪,亻臼儿
倫,亻亼冂艹
倬,亻〈卢字头〉早
倭,亻丿木女
倮,亻日木
倯,亻木八厶
倰,亻土八夂
倱,亻日〈比字旁〉匕
倲,亻一日〈木无横〉
倳,亻一口〈聿三〉丨
倴,亻大十廾
倵,亻二止乚丶
倶,亻目一八
倷,亻大二小
倸,亻爫木
倹,亻亼口人
债,亻龶〈见二〉人
倻,亻一〈耳无一〉阝
值,亻十〈见二〉〈四横〉
倽,亻〈全字头〉干口
倾,亻〈比字旁〉丆〈见二〉人
倿,亻〈立无横〉一女
偀,亻艹〈见二〉大
偁,亻爫冂〈里无日〉
偂,亻丷一〈青字底〉刂
偃,亻一日女乚
偄,亻丆冂〈临字旁〉大
偅,亻〈千二〉申二
偆,亻三人日
假,亻〈叚右角〉丨二〈叚右角〉又
偈,亻日勹人乚
偉,亻乙丄口〈牙二〉丨
偊,亻丿口〈禺字底〉
偋,亻尸丷开
偌,亻艹〈左字框〉口
偍,亻日〈定字底〉
偎,亻田一乚〈水字边〉
偏,亻丶尸冂艹
偐,亻〈立无横〉厂彡
偑,亻〈风省〉丿口〈虫无口〉
偒,亻日一勹〈横两撇〉
偓,亻尸一厶土
偔,亻口口二乚
偕,亻〈比字旁〉匕丿日
偖,亻十〈左字框〉日
偗,亻〈少三〉丿目
偘,亻口口口
偙,亻〈立无横〉冖巾
做,亻十口攵
偛,亻丿十臼
停,亻〈享字头〉冖一丨
偝,亻丨二匕〈青字底〉
偞,亻艹一乚木
偟,亻丿日王
偠,亻覀女
偡,亻艹三八乚
偢,亻丿木火
偣,亻〈立无横〉一日
偤,亻丷〈西无一〉二
健,亻〈聿三〉〈举字底〉乙丶
偦,亻乙龰〈青字底〉
偧,亻大〈久二〉丶〈久二〉丶
偨,亻止匕木
偩,亻〈负字头〉目八
偪,亻一口田
偫,亻彳土寸
偬,亻勹〈横两撇〉丶心
偭,亻丆〈见二〉〈临字旁〉三
偮,亻口一〈耳无一〉
偯,亻〈享字头〉丿乚〈水字边〉
偰,亻三丨刀大
偱,亻〈反字框〉十目
偲,亻田心
偳,亻山丆冂〈临字旁〉
側,亻目八刂
偵,亻〈卢字头〉目八
偶,亻日〈禺字底〉
偷,亻亼〈青字底〉刂
偸,亻丿丶一〈青字底〉巜
偹,亻丨夂田
偺,亻夂丨丶日
偻,亻丷木女
偼,亻〈卢字头〉彐龰
偽,亻〈刀中〉乙乙乙灬
偾,亻十艹〈见二〉人
偿,亻龸二厶
傀,亻〈卑六〉乚厶
傁,亻臼丨又
傂,亻〈反字框〉虍几
傃,亻龶幺小
傄,亻大丷目
傅,亻一〈青字底〉丨丶寸
傆,亻厂丿日小
傇,亻艹一〈耳无一〉
傈,亻覀木
傉,亻厂二乚〈水字边〉寸
傊,亻口目八
傋,亻〈寒字腰〉冂〈里无日〉
傌,亻〈馬字框〉灬
傍,亻〈立无横〉冖方
傎,亻真
傏,亻广〈聿三〉丨口
傐,亻〈享字头〉冂口
傑,亻〈久二〉丶〈牙二〉丨木
傒,亻爫幺大
傓,亻丶尸习习
傔,亻丷一〈聿三〉〈兼无䒑无彐〉
傕,亻冖亻〈隹字边〉
傖,亻亽彐丿口
傗,亻亠幺田
傘,〈全字头〉人人人人十
備,亻龷丿冂〈举字底〉
傚,亻六乂攵
傛,亻宀谷
傜,亻爫〈朱三〉山
傝,亻日习习
傞,亻丷一〈夫三〉丅一
傟,亻八厶习习
傠,亻言寸
傡,亻〈立无横〉一〈立无横〉一
傢,亻宀一〈豕省〉
傣,亻三人丨〈率字腰〉
傤,亻土〈东二〉〈毌无框〉〈戈无一〉
傥,亻龸口儿
傦,亻〈骨字头〉〈青字底〉
傧,亻宀丘八
储,亻讠十〈左字框〉日
傩,亻又亻〈隹字边〉
傪,亻厶厶厶〈全字头〉彡
傫,亻田幺小
催,亻山亻〈隹字边〉
傭,亻广〈聿三〉〈青字底〉丨
傮,亻一曲日
傯,亻丿〈见二〉夂一心
傰,亻山月月
傱,亻彳人人龰
傲,亻〈敖字旁〉攵
傳,亻一日〈虫无口〉寸
傴,亻一口口口乚
債,亻龶目八
傶,亻厂上小〈戈无一〉
傷,亻〈卧人〉日一勹〈横两撇〉
傸,亻一乂乂乂乂人
傹,亻〈立无横〉一日儿
傺,亻〈久二〉〈冬字底〉乙丶二小
傻,亻丿〈见二〉乂一八夂
傼,亻艹一口夫
傽,亻〈立无横〉一早
傾,亻〈比字旁〉丆目八
傿,亻一止一乚灬
僀,亻〈左字框〉〈临字旁〉一乚冖巾
僁,亻丿丷木心
僂,亻〈衰字腰〉口丨女
僃,亻艹勹冂〈举字底〉
僄,亻覀二小
僅,亻艹一口龶
僆,亻一〈車无一〉辶
僇,亻习习〈全字头〉彡
僈,亻日罒又
僉,亼口口人人
僊,亻覀大巳
僋,亻亽乙目八
僌,亻一〈車无一〉攵
働,亻〈千二〉申二乙丿
僎,亻巳巳共
像,亻象
僐,亻丷一〈举字底〉丷一口
僑,亻夭口冂口
僒,亻宀八〈聿三〉丿口
僓,亻口丄目八
僔,亻丷〈西无一〉二寸
僕,亻〈业无横〉一丷一夫
僖,亻士口丷一口
僗,亻火火冖乙丿
僘,亻〈尚字头〉冂口攵
僙,亻龷由八
僚,亻大丷日小
僛,亻艹三八欠
僜,亻乙丶〈横两撇〉丶一口丷一
僝,亻尸乙〈子字底〉乙〈子字底〉乙〈子字底〉
僞,亻爫丿乙乙乙灬
僟,亻幺幺一〈戈无一〉
僠,亻丿丷木田
僡,亻一日〈虫无口〉心
僢,亻爫冖〈久二〉丶〈牙二〉丨
僣,亻夫夫日
僤,亻口口日十
僥,亻土土土一儿
僦,亻京〈左字框〉乚丶
僧,亻丷〈曾字头无丷〉日
僨,亻十艹目八
僩,亻〈門字旁〉〈門字边〉月
僪,亻乙丶〈矛无龴〉冂八口
僫,亻一〈亞无二〉一心
僬,亻亻〈隹字边〉灬
僭,亻〈牙二〉儿〈牙二〉儿日
僮,亻〈立无横〉一甲二
僯,亻丷木〈久二〉丶〈牙二〉丨
僰,一冂〈木无横〉一冂〈木无横〉人
僱,亻丶尸亻〈隹字边〉
僲,亻覀〈久二〉丶〈牙二〉丨
僳,亻覀丷木
僴,亻〈門字旁〉〈門字边〉日
僵,亻一田一田一
僶,亻〈见二〉一一丨乚〈黽左角〉彐
僷,亻艹艹一乚木
僸,亻木木二小
價,亻覀目八
僺,亻口口口木
僻,亻〈辟字旁〉辛
僼,亻曲一口丷一
僽,亻丿木火心
僾,亻爫冖心夂
僿,亻宀〈寒字腰〉八土
儀,亻丷王丿扌〈戈无一〉
儁,亻亻〈隹字边〉丨乙冂
儂,亻曲厂二乚〈水字边〉
儃,亻亠回日一
億,亻〈立无横〉一日心
儅,亻龸口田
儆,亻艹句攵
儇,亻罒一口丿乚〈水字边〉
儈,亻亼〈曾字头无丷〉日
儉,亻亼口口人人
儊,亻木木乙龰
儋,亻〈负字头〉厂八言
儌,亻丿日方攵
儍,亻乂〈鬯四点〉凵八夂
儎,亻土一〈車无一〉〈戈无一〉
儏,亻〈卢字头〉〈久二〉丶又丷木
儐,亻宀一丨丿丿目八
儑,亻日幺幺灬
儒,亻〈雨头〉丆冂〈临字旁〉
儓,亻士口冖一厶土
儔,亻士乙丅一一口寸
儕,亻亠丷丨刀〈卬字旁〉丶〈乔字底〉二
儖,亻臣〈临右角〉皿
儗,亻匕〈卧人〉大乙丶乙龰
儘,亻〈聿三〉丄灬皿
儙,亻口丄㠯辶
儚,亻艹罒冖〈久二〉丶
儛,亻〈朱三〉〈四竖〉一〈久二〉丶〈牙二〉丨
儜,亻宀心皿一丨
儝,亻火火冖木
儞,亻一八巾乂乂乂乂
償,亻龸口目八
儠,亻巛〈见二〉乂一〈鼠字底〉
儡,亻田田田
儢,亻虍田心
儣,亻广龷由八
儤,亻日共丨〈率字腰〉
儥,亻士罒目八
儦,亻鹿灬
儧,亻夫夫目八
儨,亻〈反字框〉丅〈反字框〉丅目八
儩,亻目八日勹〈横两撇〉
優,亻丆〈见二〉二冖心夂
儫,亻〈享字头〉冖一〈豕省〉
儬,亻龶〈青字底〉目儿
儭,亻〈立无横〉一朩目儿
儮,亻厂丿木丿木止
儯,亻丷夫〈馬字框〉灬
儰,亻艹爫丿乙乙乙灬
儱,亻〈立无横〉一〈青字底〉〈龍字边〉
儲,亻言十〈左字框〉日
儳,亻〈负字头〉口〈比字旁〉匕兔
儴,亻亠口口〈寒字腰〉丿乚〈水字边〉
儵,亻丨夂〈黑五〉〈里无日〉灬
儶,亻山亻〈隹字边〉冂八口
儷,亻一冂丶一冂丶鹿
儸,亻罒幺〈横三点〉亻〈隹字边〉
儹,亻丿土儿丿土儿目八
儺,亻艹一口夫亻〈隹字边〉
儻,亻龸口〈黑五〉〈里无日〉灬
儼,亻口口厂乙一〈耳无一〉攵
儽,亻田田田幺小
儾,亻〈囊字头〉口口〈寒字腰〉丿乚〈水字边〉
儿,儿
兀,一儿
允,厶儿
兂,〈牙二〉儿
元,二儿
兄,兄
充,亠厶儿
兆,丿冫乚〈飞无折〉
兇,乂凵儿
先,丿土儿
光,〈尚字头〉一儿
兊,八厶儿
克,十兄
兌,八兄
免,免
兎,丿口儿丶
兏,〈反字框〉上儿
児,丨日儿
兑,丷兄
兒,臼儿
兓,〈牙二〉儿〈牙二〉儿
兔,兔
兕,丨乙〈见二〉一儿
兖,六厶儿
兗,六兄
兘,二儿厶口
兙,十兄十
党,龸口儿
兛,十兄丿十
兜,丿日〈卬字旁〉〈叚右角〉儿
兝,十兄八刀
兞,十兄〈千二〉七
兟,丿土儿丿土儿
兠,丿日丨二匕儿
兡,十兄丆日
兢,十兄十兄
兣,十兄厂甲二
兤,〈尚字头〉一儿广龷由八
入,丿丶
兦,丿丶乚
內,冂丿丶
全,全
兩,一巾丿丶丿丶
兪,丿丶一〈青字底〉巜
八,八
公,八厶
六,六
兮,八一乚
